menu_id,name,provider_id,position
1000590,Bundles,1000039,1
1000591,Dairy,1000014,1
1000592,Meal Deals,1000028,1
1000593,Meal Kits & Bundles,1000076,1
1000594,Picked for you,1000003,1
1000595,Picked for you,1000026,1
1000596,Picked for you,1000032,1
1000597,Mains,1000032,1
1000598,Picked for you,1000050,1
1000599,Non-vegetable Dishes,1000050,1
1000600,Bowls,1000076,1
1000601,Picked for you,1000100,1
1000602,Snacks & Sweets,1000075,1
1000603,"Naan, Roti, and Rice",1000100,1
1000604,Condiments,1000048,1
1000605,Sashimi,1000024,1
1000606,Sushi A La Carte,1000006,1
1000607,Sides & Salads,1000044,1
1000608,Sides & Salads,1000099,1
1000609,Appetizers,1000094,1
1000610,NEW! Soups,1000028,1
1000611,Lunches,1000074,1
1000612,Drinks,1000025,1
1000613,Picked for you,1000024,1
1000614,Sushi and Sashimi Combo,1000006,1
1000615,Rice Plate,1000066,1
1000616,Beverages,1000073,1
1000617,Canned Cocktails,1000043,1
1000618,Confectionery,1000035,1
1000619,Chocolates,1000079,1
1000620,Chocolate,1000014,1
1000621,Bread & Bakery,1000005,1
1000622,Soups and Salads,1000052,1
1000623,Salads,1000104,1
1000624,Salads,1000062,1
1000625,Sides,1000076,1
1000626,Salad,1000090,1
1000627,Salads & Chicken,1000094,1
1000628,Salads and Bowls,1000103,1
1000629,Salad,1000106,1
1000630,Salads,1000042,1
1000631,Hot Beverages,1000031,1
1000632,Steak and Seafood,1000052,1
1000633,Frappuccino® Blended Beverages,1000075,1
1000634,Hot Beverages,1000101,1
1000635,"""Super Bowl"" of Pasta",1000092,1
1000636,Sandwich Combos and Platters,1000061,1
1000637,Sides,1000023,1
1000638,Side Sauce,1000094,1
1000639,Sides,1000016,1
1000640,Zone Flatbreads,1000092,1
1000641,"""Training Day"" Wraps",1000092,1
1000642,Canned Foods1,1000020,1
1000643,Special Offers,1000005,1
1000644,"Noodles, Pasta, and Soup",1000079,1
1000645,Drinks,1000076,1
1000646,Beverages,1000099,1
1000647,Drinks,1000010,1
1000648,Soft Drinks,1000035,1
1000649,Drinks Large,1000009,1
1000650,Sides,1000067,1
1000651,"""On the Side"" Lines",1000092,1
1000652,Red Wine,1000076,1
1000653,Smoothies,1000031,1
1000654,Candy Box,1000079,1
1000655,Cold Coffee,1000049,1
1000656,Picked for you,1000082,1
1000657,Desserts,1000082,1
1000658,Hot Drinks,1000075,1
1000659,Picked for you,1000075,1
1000660,Cheese Cakes,1000064,1
1000661,Signature Specialty Drinks,1000065,1
1000662,Coffee Series,1000030,1
1000663,Coffee-tea-hot Chocolate,1000079,1
1000664,Pastries,1000063,1
1000665,Dessert,1000027,1
1000666,Picked for you,1000005,1
1000667,Cat Food,1000079,1
1000668,Cauliflower Bites,1000106,1
1000669,Tacos,1000088,1
1000670,Salads,1000084,1
1000671,Cereal and Oatmeal,1000079,1
1000672,Feeds,1000020,1
1000673,Sides,1000001,1
1000674,Tea,1000067,1
1000675,Hot Drinks,1000017,1
1000676,Hot Teas,1000075,1
1000677,Ice Cream1,1000020,1
1000678,Rice Dishes,1000040,1
1000679,Keto Buns,1000046,1
1000680,Omelettes,1000074,1
1000681,Starters,1000090,1
1000682,Teaser and Pleasers,1000008,1
1000683,Starters,1000051,1
1000684,Pita Burgers,1000052,1
1000685,Kids,1000076,1
1000686,Pastas,1000029,1
1000687,Bundle Deals,1000013,1
1000688,King Jr Meals,1000013,1
1000689,Picked for you,1000094,1
1000690,Desserts,1000002,1
1000691,Kids Menu,1000051,1
1000692,Chips,1000072,1
1000693,Snacks & Cookies,1000005,1
1000694,Chips Regular Size Bag,1000079,1
1000695,Entrees,1000062,1
1000696,Premier Specials,1000062,1
1000697,Sweets & Treats,1000031,1
1000698,CHCKN,1000033,1
1000699,Soup & Salads,1000038,1
1000700,Picked for you,1000038,1
1000701,Biryani & Rice Specialties,1000038,1
1000702,Wraps,1000077,1
1000703,Steak & Mains,1000076,1
1000704,Wings and Fingers,1000104,1
1000705,Diner Dinners,1000104,1
1000706,Fried Rice and Fried Noodles 炒饭和炒面,1000086,1
1000707,Picked for you,1000013,1
1000708,Picked for you,1000040,1
1000709,Japas,1000070,1
1000710,Indian Breads,1000038,1
1000711,Picked for you,1000087,1
